City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Avarua,12,CK,1554174000,74,-21.21,-159.78,80.6,13.87
Tessalit,0,ML,1554176521,30,20.2,1.01,71.98,9.78
Howard Springs,0,AU,1554176434,43,-12.5,131.05,91.0,9.17
Busselton,0,AU,1554176237,31,-33.64,115.35,75.99,5.53
Sakaiminato,75,JP,1554175997,66,35.55,133.23,51.8,14.99
Kruisfontein,88,ZA,1554176526,93,-34.0,24.73,56.5,4.41
Quatre Cocos,40,MU,1554176341,94,-20.21,57.76,79.0,3.36
Touros,40,BR,1554174000,100,-5.2,-35.46,73.4,5.82
Clyde River,90,CA,1554174000,84,70.47,-68.59,-0.41,9.17
Carutapera,92,BR,1554176105,97,-1.2,-46.02,76.3,3.85
Shache,36,CN,1554176532,38,38.42,77.24,55.33,5.41
Waddan,0,LY,1554176533,62,29.16,16.14,58.03,11.01
Cayenne,40,GF,1554174000,88,4.94,-52.33,78.8,4.7
Thompson,90,CA,1554174660,92,55.74,-97.86,24.8,17.22
Umarga,0,IN,1554176537,54,17.84,76.62,76.03,0.72
Lebu,75,ET,1554174000,77,8.96,38.73,59.0,4.7
Sao Joao da Barra,12,BR,1554176539,100,-21.64,-41.05,77.29,10.22
Hithadhoo,64,MV,1554176380,100,-0.6,73.08,82.33,8.43
Svetlogorsk,20,RU,1554174000,69,53.14,59.15,35.6,6.71
Arraial do Cabo,68,BR,1554176391,100,-22.97,-42.02,73.06,4.41
Gulariya,0,IN,1554176544,37,28.2,81.35,74.86,3.4
Albany,1,US,1554176105,39,42.65,-73.75,30.99,3.36
Conakry,75,GN,1554174000,100,9.52,-13.7,75.2,8.1
Presidencia Roque Saenz Pena,88,AR,1554176548,95,-26.79,-60.44,71.53,9.78
Te Anau,80,NZ,1554176474,66,-45.41,167.72,50.38,3.51
Pokhara,0,NP,1554176550,80,28.21,83.99,58.66,0.94
Kendari,48,ID,1554176441,91,-3.99,122.52,83.14,3.74
Vaini,0,IN,1554174000,41,15.34,74.49,78.8,3.62
Alofi,40,NU,1554174000,69,-19.06,-169.92,80.6,12.75
Deputatskiy,0,RU,1554176325,77,69.3,139.9,16.27,7.54
Waipawa,92,NZ,1554175337,77,-39.94,176.59,57.0,1.01
Velen,0,DE,1554176533,65,51.9,6.98,48.2,4.7
Viedma,32,AR,1554176559,58,-40.81,-62.99,75.31,14.03
Qaanaaq,0,GL,1554176357,72,77.48,-69.36,-6.87,6.31
Ixtapa,5,MX,1554175823,83,20.71,-105.21,75.99,2.06
Kaeo,68,NZ,1554176285,62,-35.1,173.78,72.0,7.0
Port Hedland,0,AU,1554174000,55,-20.31,118.58,89.6,9.17
Mehamn,75,NO,1554173400,68,71.03,27.85,30.2,16.11
San Lazaro,5,BZ,1554172800,69,18.04,-88.66,80.6,17.22
Kapaa,90,US,1554176001,73,22.08,-159.32,75.2,11.41
Tiksi,32,RU,1554176476,81,71.64,128.87,21.49,3.85
Codrington,75,AU,1554176167,94,-28.95,153.24,68.0,8.05
Kasongo-Lunda,36,CD,1554176571,96,-6.48,16.82,67.57,1.72
Mengcheng,64,CN,1554176572,58,33.26,116.57,65.77,9.22
Evensk,12,RU,1554176284,80,61.92,159.24,35.53,8.77
Piracuruca,92,BR,1554176574,98,-3.93,-41.72,72.34,7.54
Gorin,1,US,1554174900,59,40.36,-92.02,46.4,11.41
Vostok,44,RU,1554176294,53,46.45,135.83,29.14,4.41
Sola,75,NO,1554176419,64,58.89,5.65,41.0,19.46
Bethel,75,US,1554173760,61,60.79,-161.76,48.2,9.17
Prince Rupert,1,CA,1554174000,29,54.32,-130.32,60.8,6.93
Belem de Sao Francisco,88,BR,1554176582,76,-8.75,-38.97,77.11,6.42
Georgetown,0,GY,1554174000,94,6.8,-58.16,73.4,4.7
Gwanda,0,ZW,1554176584,69,-20.94,29.0,60.64,9.33
Port Alfred,92,ZA,1554176100,94,-33.59,26.89,57.0,1.01
Ketchikan,1,US,1554173760,53,55.34,-131.65,57.2,14.99
Zeya,0,RU,1554176588,46,53.74,127.27,33.91,4.07
Los Llanos de Aridane,92,ES,1554176403,77,28.66,-17.92,59.0,10.29
Tura,12,IN,1554176396,91,25.52,90.21,70.09,3.96
Aykhal,80,RU,1554176587,88,65.95,111.51,33.37,7.31
Mahebourg,40,MU,1554176041,94,-20.41,57.7,78.01,3.36
Oil City,1,US,1554176536,58,41.43,-79.71,30.2,5.82
Meadow Lake,80,CA,1554176595,77,54.13,-108.44,31.93,8.77
Leopold,1,US,1554176491,69,38.1,-86.58,41.0,4.85
College,1,US,1554176449,45,64.86,-147.8,51.8,5.82
Hilo,90,US,1554176115,69,19.71,-155.08,78.8,5.82
Muttupet,0,IN,1554176600,82,10.4,79.48,85.48,3.29
Saint-Pierre,0,FR,1554176525,66,48.95,4.24,51.8,9.17
Rio Grande,20,BR,1554176603,93,-32.03,-52.1,69.91,9.22
Pangnirtung,8,CA,1554176552,58,66.15,-65.72,-6.78,3.18
Nikolskoye,0,RU,1554176136,82,59.7,30.79,34.0,11.18
Saint-Francois,0,FR,1554174000,70,46.42,3.91,42.8,4.7
Torbay,90,CA,1554176004,77,47.66,-52.73,36.0,33.33
Banda Aceh,36,ID,1554176353,83,5.56,95.32,83.32,1.95
Tsaratanana,24,MG,1554176611,95,-16.8,47.65,69.37,3.96
East London,90,ZA,1554174000,76,-33.02,27.91,57.2,5.82
La Rioja,36,AR,1554176362,86,-29.41,-66.86,70.36,2.95
Goya,44,AR,1554176614,90,-29.14,-59.27,72.52,4.63
Chamba,0,IN,1554176615,36,32.56,76.12,54.97,2.17
Meulaboh,24,ID,1554176617,100,4.14,96.13,81.07,3.18
Ahuimanu,40,US,1554176583,73,21.44,-157.84,78.8,5.82
Vanavara,80,RU,1554176619,66,60.35,102.28,33.01,10.67
Atar,12,MR,1554176620,60,20.52,-13.05,56.59,3.74
Pisco,75,PE,1554174000,83,-13.71,-76.2,69.8,4.7
Moyale,0,ET,1554176623,78,3.52,39.05,63.34,2.73
Sao Filipe,0,CV,1554176440,100,14.9,-24.5,69.73,11.68
Karasburg,0,NA,1554176625,29,-28.01,18.75,53.71,5.53
Yarmouth,0,GB,1554176589,100,50.71,-1.5,43.0,2.24
Teguldet,48,RU,1554176628,72,57.31,88.17,34.18,8.66
Atuona,8,PF,1554176246,100,-9.8,-139.03,82.51,9.89
Bodrum,20,TR,1554175200,71,37.04,27.43,53.6,2.24
Bandarbeyla,92,SO,1554176632,100,9.49,50.81,77.74,4.63
Ilulissat,24,GL,1554173400,51,69.22,-51.1,12.2,12.75
Hasaki,20,JP,1554176376,27,35.73,140.83,55.0,16.11
Mareeba,48,AU,1554176173,86,-16.99,145.42,77.0,1.99
Imbituba,0,BR,1554174000,94,-28.24,-48.67,69.8,13.24
Mananjary,8,MG,1554176638,91,-19.16,46.8,54.52,2.95
Aras,0,YE,1554176639,79,14.28,44.38,41.47,0.72
Taoudenni,0,ML,1554176331,43,22.68,-3.98,57.31,2.84
Karratha,0,AU,1554176429,35,-20.74,116.85,97.72,7.65
Luderitz,0,NA,1554176252,80,-26.65,15.16,57.76,15.48
Geraldton,90,CA,1554174000,58,49.72,-86.95,28.4,6.93
Zhucheng,40,CN,1554174000,87,30.85,114.8,53.6,2.24
Karoi,0,ZW,1554176646,66,-16.82,29.68,64.42,9.44
Bibiani,24,GH,1554176647,91,6.45,-2.31,76.03,5.41
Natal,75,BR,1554174000,88,-5.81,-35.21,75.2,3.36
Changtu,0,CN,1554176650,69,42.78,124.11,44.35,6.2
Naushahro Firoz,0,PK,1554176651,28,26.84,68.12,80.44,2.73
Talnakh,68,RU,1554176329,93,69.49,88.39,22.21,10.78
Strezhevoy,75,RU,1554174000,93,60.73,77.6,35.6,15.66
Kinsale,20,IE,1554175800,86,51.71,-8.52,37.4,16.11
Hamilton,90,BM,1554175865,88,32.3,-64.78,64.4,19.46
Chernihiv,0,UA,1554176657,73,51.49,31.29,28.78,9.22
Flinders,40,AU,1554176539,56,-34.58,150.85,72.0,12.75
Tyrma,0,RU,1554176660,55,50.04,132.17,34.09,5.19
Cherskiy,76,RU,1554176366,73,68.75,161.3,31.57,6.31
Ranau,75,MY,1554176417,70,5.95,116.67,89.01,8.05
Westport,92,IE,1554175984,88,53.8,-9.52,39.99,5.01
Khatanga,88,RU,1554176386,100,71.98,102.47,31.03,11.12
Souillac,90,FR,1554176447,93,45.6,-0.6,55.0,4.7
Marsa Matruh,56,EG,1554176657,89,31.35,27.25,48.31,6.2
Ponta do Sol,0,BR,1554176419,92,-20.63,-46.0,63.88,3.4
Leh,20,IN,1554176670,82,34.16,77.58,-1.56,1.61
Anloga,20,GH,1554174000,88,5.79,0.9,82.4,5.82
Middletown,1,US,1554176672,43,41.55,-71.29,35.6,5.82
Port Hardy,20,CA,1554174000,70,50.7,-127.42,48.2,2.24
Plouzane,0,FR,1554176585,81,48.38,-4.62,48.99,11.41
Tecoanapa,5,MX,1554173220,69,16.99,-99.26,80.6,8.05
Pastavy,0,BY,1554176678,68,55.11,26.84,20.77,2.95
Noumea,20,NC,1554174000,62,-22.28,166.46,86.0,14.99
Tasiilaq,76,GL,1554173400,62,65.61,-37.64,24.8,4.7
Yumen,24,CN,1554176681,40,40.29,97.04,54.43,5.64
Clinton,75,US,1554176400,61,41.84,-90.19,48.2,14.99
Vila Velha,88,BR,1554176048,100,-3.71,-38.6,77.0,1.01
Palmer,0,AU,1554176151,31,-34.85,139.16,81.0,10.29
Poum,0,MK,1554174000,64,41.28,20.71,33.8,3.36
Ginir,24,ET,1554176092,77,7.14,40.71,54.61,2.62
Shieli,12,KZ,1554176688,83,44.18,66.74,43.45,11.56
Brae,88,GB,1554175200,86,60.4,-1.35,42.8,11.41
San Patricio,48,PY,1554176358,80,-26.98,-56.83,74.23,3.06
Ilhabela,32,BR,1554176534,99,-23.78,-45.36,75.49,10.33
Ajdabiya,24,LY,1554176693,42,30.75,20.22,59.29,13.69
Kashary,92,RU,1554176695,84,49.04,41.01,39.13,16.04
Tamiahua,88,MX,1554176399,100,21.28,-97.45,66.04,14.14
Henties Bay,0,NA,1554174132,88,-22.12,14.28,59.0,3.0
Tocopilla,56,CL,1554176516,100,-22.09,-70.2,60.37,2.95
Nagato,40,JP,1554175712,44,34.35,131.14,57.2,14.99
Tashara,20,RU,1554176701,87,55.52,83.51,32.56,11.23
Kilifi,20,KE,1554174000,88,-3.63,39.85,80.6,4.7
Alice Town,0,BS,1554176703,98,25.72,-79.3,76.84,10.22
Hyderabad,40,IN,1554175869,40,17.36,78.47,89.6,6.93
Soe,20,EE,1554176417,92,57.91,26.05,28.4,10.29
Linqiong,75,CN,1554174000,87,30.42,103.46,57.2,4.47
Catia La Mar,75,VE,1554175844,88,10.6,-67.03,75.2,16.04
Berlevag,75,NO,1554173400,68,70.86,29.09,30.2,16.11
Hokitika,24,NZ,1554176711,91,-42.72,170.96,60.64,1.39
Port Macquarie,40,AU,1554176105,93,-31.43,152.91,73.99,5.82
Yellowknife,20,CA,1554176139,61,62.45,-114.38,15.8,14.99
Tiarei,75,PF,1554176541,70,-17.53,-149.33,87.8,10.29
North Bend,90,US,1554176131,93,43.41,-124.22,54.0,2.84
Halifax,20,CA,1554176467,50,44.65,-63.58,30.99,21.92
Bambanglipuro,64,ID,1554176718,100,-7.95,110.28,77.11,4.07
Sabang,0,PH,1554176596,71,13.72,123.58,84.04,10.78
Gulmarg,0,IN,1554176720,78,34.05,74.39,37.51,2.73
Ozerne,0,UA,1554176722,71,50.18,28.74,29.23,7.76
Yeppoon,75,AU,1554174000,48,-23.13,150.74,82.4,12.75
Serov,0,RU,1554176724,72,59.61,60.57,27.61,5.97
Kaoma,0,ZM,1554176725,61,-14.8,24.8,61.54,5.19
Puerto Quijarro,44,BO,1554176727,90,-19.0,-57.72,76.3,2.28
Nouadhibou,0,MR,1554174000,82,20.93,-17.03,64.4,6.93
Myitkyina,0,MM,1554176729,75,25.38,97.4,72.43,4.63
Gayeri,8,BF,1554176731,67,12.65,0.49,78.37,2.84
Businga,64,CD,1554176732,95,3.34,20.89,72.07,2.28
Beringovskiy,88,RU,1554176537,100,63.05,179.32,31.57,12.35
Hun,44,BE,1554176687,66,50.34,4.87,51.8,5.82
Namibe,0,AO,1554176734,100,-15.19,12.15,79.27,9.22
Longyearbyen,20,NO,1554173400,65,78.22,15.63,8.6,8.05
Bitung,40,ID,1554174000,66,1.44,125.19,87.8,4.7
Natchitoches,1,US,1554176446,93,31.76,-93.09,41.0,3.36
Husavik,24,CA,1554176403,81,50.56,-96.99,35.01,3.0
Aranos,0,NA,1554176742,58,-24.14,19.11,67.39,7.65
Huarmey,48,PE,1554176743,84,-10.07,-78.15,66.22,3.4
Lata,0,IN,1554176744,52,30.78,78.62,50.29,2.17
Mar del Plata,0,AR,1554176121,54,-46.43,-67.52,65.32,27.0
Nyzy,0,UA,1554176747,66,50.78,34.78,29.77,12.01
Namtsy,0,RU,1554174000,54,62.72,129.66,30.2,2.24
Sitka,0,US,1554176613,57,37.17,-99.65,46.24,6.98
Manado,40,ID,1554174000,66,1.49,124.85,87.8,4.7
Edd,8,ER,1554176751,90,13.93,41.69,67.03,0.94
Rome,0,IT,1554176464,70,41.89,12.48,54.0,2.24
Roald,64,NO,1554176735,51,62.58,6.12,39.2,9.17
Esperance,20,TT,1554176107,83,10.24,-61.45,77.0,4.7
Omsukchan,88,RU,1554176757,85,62.53,155.8,29.59,5.64
Aksu,0,KZ,1554174000,71,52.04,76.93,44.6,6.71
Sri Aman,75,MY,1554174000,70,1.24,111.46,86.0,3.36
Yenagoa,68,NG,1554176760,91,4.92,6.26,78.19,8.21
Supe,44,PE,1554176762,96,-10.8,-77.72,66.76,11.45
Luanda,20,AO,1554176763,97,-8.83,13.24,80.62,8.21
Wollongong,75,AU,1554176763,68,-34.42,150.89,73.99,4.7
Khilok,44,RU,1554176766,29,51.36,110.46,45.97,6.53
Narsaq,92,GL,1554176566,84,60.91,-46.05,23.38,4.29
Hvide Sande,20,DK,1554176464,74,56.01,8.13,37.4,10.29
Tenenkou,0,ML,1554176769,70,14.46,-4.91,77.74,1.61
Mocuba,0,MZ,1554176770,87,-16.84,36.99,60.91,2.95
Cerrito,75,CO,1554174000,100,6.84,-72.7,69.8,3.36
Isangel,75,VU,1554174000,66,-19.55,169.27,86.0,9.17
Ouro Preto do Oeste,20,BR,1554176774,85,-10.75,-62.22,77.29,2.17
Puerto Escondido,5,MX,1554172800,74,15.86,-97.07,80.6,6.2
Saint-Augustin,0,FR,1554176538,81,44.83,-0.61,55.4,6.93
Santiago,0,CL,1554176756,63,-33.44,-70.65,75.0,3.36
Carnarvon,32,ZA,1554176316,72,-30.97,22.13,40.03,9.78
La Palma del Condado,40,ES,1554176780,100,37.38,-6.55,54.0,2.51
Royan,90,FR,1554176769,93,45.62,-1.03,53.6,4.7
Virginia Beach,20,US,1554176458,60,36.85,-75.98,42.01,5.82
Aklavik,75,CA,1554174000,78,68.22,-135.01,17.6,10.29
Burnie,12,AU,1554176645,52,-41.05,145.91,64.99,5.99
Gornoye Loo,90,RU,1554174000,87,43.72,39.61,44.6,6.71
Xuddur,0,SO,1554176788,80,4.12,43.89,70.54,11.45
Raudeberg,75,NO,1554176702,60,61.99,5.14,39.2,24.16
Lompoc,1,US,1554176217,87,34.64,-120.46,63.0,4.7
Deer Lake,75,CA,1554174000,74,49.18,-57.43,30.2,21.92
Bo Phloi,32,TH,1554176793,63,14.32,99.52,88.45,4.63
Yerbogachen,64,RU,1554176328,63,61.28,108.01,33.37,13.24
Reshetylivka,0,UA,1554176796,64,49.56,34.08,31.75,12.01
Victoria,75,BN,1554174000,74,5.28,115.24,87.8,3.36
Kardamaina,20,GR,1554175200,71,36.78,27.14,53.6,2.24
Yar-Sale,0,RU,1554176334,76,66.83,70.83,12.85,10.45
Cabo San Lucas,5,MX,1554176111,77,22.89,-109.91,73.0,11.41
Port-Gentil,64,GA,1554176802,95,-0.72,8.78,82.87,6.98
Mount Pleasant,1,US,1554176786,75,33.16,-94.97,46.4,3.74
Chuy,20,UY,1554176278,94,-33.69,-53.46,65.32,7.65
Tam Ky,40,VN,1554174000,69,15.57,108.48,82.4,2.24
Rorvik,68,NO,1554176702,74,64.86,11.24,37.99,5.01
Nicoya,0,CR,1554174000,58,10.15,-85.45,84.2,8.05
Minyar,92,RU,1554176810,99,55.07,57.55,33.91,3.18
Cairns,76,AU,1554176717,97,-16.92,145.77,77.0,1.01
Moron,88,VE,1554176754,94,10.49,-68.2,67.66,2.95
Klaksvik,56,FO,1554175200,100,62.23,-6.59,32.0,4.7
Carupano,0,VE,1554176815,84,10.67,-63.26,77.11,12.46
Port Lincoln,0,AU,1554176559,75,-34.72,135.86,71.8,11.68
Kerema,36,PG,1554176357,84,-7.96,145.78,82.15,3.51
Mandalgovi,36,MN,1554176534,74,45.76,106.27,43.27,4.74
Mountain Home,90,US,1554176814,50,43.13,-115.69,53.6,4.7
Tuy Hoa,44,VN,1554176821,79,13.08,109.3,82.51,4.63
Amapa,20,HN,1554174000,78,15.09,-87.97,77.0,5.82
Rawson,88,AR,1554176695,32,-43.3,-65.11,75.31,12.12
Nabire,12,ID,1554176510,68,-3.36,135.5,82.96,2.51
Hofn,56,IS,1554176440,100,64.25,-15.21,34.54,27.34
Kaitangata,92,NZ,1554176136,63,-46.28,169.85,55.99,13.0
Lagoa,0,PT,1554176528,87,37.14,-8.45,55.0,5.82
Les Cayes,56,HT,1554176829,100,18.19,-73.75,78.73,7.2
Natchez,90,US,1554176705,53,31.56,-91.4,50.0,4.7
Omboue,92,GA,1554176365,100,-1.57,9.26,84.04,6.98
Castro,90,CL,1554174000,100,-42.48,-73.76,51.8,5.53
Peniche,20,PT,1554176757,93,39.36,-9.38,53.01,3.36
Mae Ramat,0,TH,1554174000,48,16.98,98.52,84.2,2.24
Saldanha,32,PT,1554176470,88,41.42,-6.55,41.56,1.72
Chamrajnagar,0,IN,1554176838,65,11.92,76.95,77.47,1.95
Benguela,44,AO,1554176839,100,-12.58,13.4,80.44,3.85
Zhigansk,92,RU,1554176531,81,66.77,123.37,29.5,7.43
Naze,8,NG,1554176389,94,5.43,7.07,76.57,7.76
Faanui,88,PF,1554176192,100,-16.48,-151.75,85.21,5.97
Mount Isa,0,AU,1554174000,35,-20.73,139.49,86.0,10.29
Sao Raimundo das Mangabeiras,92,BR,1554176845,97,-7.02,-45.48,73.15,3.96
Timizart,92,DZ,1554176846,99,36.8,4.25,52.09,2.28
Bonavista,24,CA,1554176772,86,48.65,-53.11,34.0,21.0
Xiaolingwei,76,CN,1554176837,48,32.03,118.85,70.0,4.47
Emerald,75,AU,1554176395,39,-23.53,148.16,82.4,14.99
Changqing,0,CN,1554174000,36,31.81,117.24,62.6,8.95
Vardo,1,US,1554176224,40,39.62,-77.74,37.4,5.82
Norman Wells,75,CA,1554174000,73,65.28,-126.83,23.0,6.93
Kikwit,44,CD,1554176855,93,-5.04,18.82,72.43,2.73
Tortoli,75,IT,1554173700,93,39.93,9.66,51.8,6.93
Kirakira,44,SB,1554176857,100,-10.46,161.92,83.68,8.99
Piacabucu,92,BR,1554176428,94,-10.41,-36.43,76.57,3.18
Baijiantan,56,CN,1554176860,79,45.63,85.18,56.23,5.3
Mount Gambier,12,AU,1554174000,38,-37.83,140.78,73.4,16.11
Shahreza,0,IR,1554176862,46,32.01,51.87,26.26,4.07
Ostrovnoy,68,RU,1554176389,86,68.05,39.51,24.82,15.82
Paso de los Toros,48,UY,1554176865,71,-32.81,-56.52,72.16,11.12
Igarka,68,RU,1554176866,98,67.47,86.57,26.53,12.24
Choix,12,MX,1554176867,50,26.71,-108.33,64.69,1.72
Cabrobo,56,BR,1554176869,98,-8.51,-39.31,69.82,1.61
Pingxiang,44,CN,1554176870,94,27.63,113.85,60.64,3.4
Vestmannaeyjar,0,IS,1554176385,100,63.44,-20.27,30.94,19.51
Avera,90,US,1554176827,34,33.19,-82.53,55.4,9.17
Manitouwadge,36,CA,1554176874,73,49.12,-85.84,27.7,8.43
Bartlesville,1,US,1554176802,52,36.75,-95.98,46.4,5.82
Hlatikulu,92,SZ,1554176876,95,-26.97,31.33,58.84,2.73
Fortuna,0,ES,1554176439,93,38.18,-1.13,55.99,3.36
Maruoka,75,JP,1554174000,86,36.15,136.27,41.0,11.41
Muros,75,ES,1554176405,93,42.77,-9.06,54.0,5.82
Joshimath,0,IN,1554176881,89,30.57,79.57,8.71,1.05
Kurilsk,12,RU,1554176882,97,45.23,147.88,27.61,12.8
Harwich,1,US,1554176866,63,41.69,-70.08,39.0,11.23
Saint Pete Beach,40,US,1554176878,100,27.73,-82.74,68.0,5.82
Baiao,76,BR,1554176886,91,-2.79,-49.67,76.93,2.17
Komsomolskiy,80,RU,1554176718,93,67.55,63.78,25.63,17.27
Oranjemund,0,ZA,1554176889,90,-28.55,16.43,59.11,24.32
Salalah,40,OM,1554173400,78,17.01,54.1,75.2,4.7
Kukushtan,0,RU,1554174000,86,57.65,56.5,28.4,6.71
Labuhan,92,ID,1554176545,91,-2.54,115.51,78.19,3.06
Egvekinot,44,RU,1554176609,93,66.32,-179.17,30.94,3.18
Lander,1,US,1554175862,60,42.83,-108.73,39.2,4.7
The Valley,20,AI,1554175870,69,18.22,-63.06,78.8,10.29
Benito Juarez,0,MX,1554176856,43,28.64,-111.57,73.0,1.99
Samarai,88,PG,1554176898,100,-10.62,150.67,79.0,19.28
Cap Malheureux,40,MU,1554176641,94,-19.98,57.61,79.0,3.36
Hede,24,SE,1554176762,79,60.45,15.49,27.0,6.42
Dondo,0,MZ,1554176902,85,-19.62,34.74,71.17,2.95
Kaspiysk,75,RU,1554174000,87,42.88,47.64,44.6,11.18
Tyup,0,KG,1554176905,93,42.73,78.36,32.83,1.16
Junagadh,0,IN,1554176906,58,21.52,70.46,78.64,4.41
Tromso,90,NO,1554176471,100,69.65,18.96,32.0,20.8
Manakara,0,MG,1554176908,100,-22.14,48.01,73.87,2.73
Sydney,75,AU,1554176417,68,-33.85,151.22,73.99,4.7
Barcelona,0,ES,1554176675,71,41.38,2.18,55.99,4.7
Bani Walid,0,LY,1554176912,84,31.76,14.0,51.73,13.02
Ballina,68,IE,1554176292,82,54.11,-9.15,39.99,14.0
Bozhou,80,CN,1554176915,56,33.86,115.78,65.23,7.76
Cockburn Town,0,TC,1554176701,100,21.46,-71.14,77.56,14.25
Cidreira,8,BR,1554176772,84,-30.17,-50.22,72.43,11.45
Baykit,56,RU,1554176553,82,61.68,96.39,29.77,8.43
Mercedes,48,UY,1554176919,91,-33.25,-58.03,69.37,4.41
Policoro,75,IT,1554176405,81,40.21,16.68,54.0,8.05
La Tuque,76,CA,1554176379,66,47.44,-72.79,27.07,8.43
Srednekolymsk,80,RU,1554176557,78,67.46,153.71,19.96,3.18
San Cristobal,90,EC,1554176760,93,-0.39,-78.55,57.2,3.36
Port Keats,8,AU,1554176926,57,-14.25,129.55,89.53,13.91
Grindavik,75,IS,1554176215,79,63.84,-22.43,30.0,28.86
Sur,12,OM,1554176687,78,22.57,59.53,80.26,9.78
Cabedelo,0,BR,1554174000,94,-6.97,-34.84,75.2,2.24
Ulaangom,0,MN,1554176931,85,49.98,92.07,37.6,1.72
Acapulco,5,MX,1554173220,69,16.86,-99.88,80.6,8.05
Chokurdakh,20,RU,1554176346,91,70.62,147.9,9.43,13.35
Hami,12,CN,1554176934,49,42.84,93.51,63.43,8.77
Verkhneyarkeyevo,88,RU,1554176936,94,55.45,54.3,31.21,3.29
Polyarnyye Zori,64,RU,1554176937,82,67.37,32.5,24.37,4.74
Cervo,0,BR,1554176938,89,-22.19,-46.24,59.83,3.18
Paita,36,PE,1554176817,69,-5.09,-81.11,74.59,5.08
